#Digilent WaveForms Network Analyzer - Bode
#Device Name: ADP3450
#Serial Number: SN:210018B23D40
#Date Time: 2026-07-24 07:44:19.267
#Start: 50000 Hz
#Stop: 1.02319e+06 Hz
#Steps: 101
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 20 ms
#MinPeriods: 16 
#Channel: Channel 2
#Range: 21.9572 V
#Offset: -0.000630704 V
#Relative: yes
#Channel: Channel 3
#Range: 21.8563 V
#Offset: -0.000101478 V
#Relative: no
#Wavegen Channel 2: Enabled
#Mode: Simple
#Type: Triangle
#Frequency: 10 kHz
#Period: 100 us
#Amplitude: 1 V
#Offset: 1.65 V
#Symmetry: 50 %
#Phase: 270 °

Frequency (Hz),Channel 2 Magnitude (dB),Channel 2 Phase (deg),Channel 3 Magnitude (dB)
50000.00000000001,-27.84314449773849,-159.7090613398418,-0.1159024326576234
51532.34112757664,-30.33542956804424,-163.6764645529735,-0.1105826333014771
53111.64364177849,-32.30571393361741,-166.8268017678504,-0.09091688809212123
54739.3467598883,-34.11808234789601,-168.4340833459199,-0.08181195602442833
56416.9338066254,-35.75176475016636,-169.1868594416608,-0.08175349323110302
58145.93356589859,-37.26795618259722,-169.3239879492907,-0.08742112648623326
59927.92167398585,-38.63200843467398,-169.313472755761,-0.07337363159739374
61764.52205541063,-40.09044648021982,-168.8560507438487,-0.0613654049972325
63657.40840282297,-41.61133813125445,-167.3129794402276,-0.05542594969342704
65608.30570223472,-43.16735095448485,-164.5923191689041,-0.05161003823104186
67618.99180499779,-44.99208023055563,-158.7932838562056,-0.05262463458419465
69691.2990479591,-46.86806721430789,-145.93884490197,-0.05038807129064994
71827.11592326763,-47.2994693927659,-121.3024166810687,-0.03792085295979798
74028.38879935635,-43.72880156592147,-98.98545872676772,-0.03289197618657842
76297.12369466609,-38.86950229354352,-108.9796524646555,-0.0327947369613622
78635.38810572879,-37.70218233280643,-138.5058057572106,-0.02678590246353227
81045.31289127596,-39.33026528686043,-156.3921704849115,-0.03511510531579533
83529.0942140883,-41.16857989778473,-164.7919731471429,-0.01506770507435854
86088.99554235766,-42.68408188216557,-168.6555291105785,-0.01177315043898805
88727.34971238396,-43.98407792628984,-170.348813954634,-0.02158936911947412
91446.56105448715,-45.10252329829453,-171.588879361819,-0.005004683751816146
94249.10758407184,-46.1562592852919,-172.3833201374826,-0.006587428671061858
97137.54325984117,-47.08081683431512,-173.274246539658,0.003019414646608558
100114.5003112173,-48.02176652488196,-173.3531727510905,-0.006476539291560331
103182.6916370905,-48.90135679688797,-173.9039189244542,0.01069121167696293
106344.9132780819,-49.77332970558345,-173.9074861775563,0.01407481673191329
109604.0469645734,-50.58176823977152,-173.8192394543426,0.005879352829894775
112963.0627428264,-51.41444402988701,-173.9543614988652,0.01988432233804658
116425.0216815835,-52.17935461331146,-173.4727379243452,0.02211869700219511
119993.0786616172,-53.48832987488807,-176.1411022637419,0.02551794265940073
123670.4852507719,-52.92589058746552,-177.5719398213448,0.02742955308693435
127460.5926671142,-54.59335821574474,-172.6508817833659,0.03024600636660371
131366.8548328964,-55.30111018984549,-174.0234391677108,0.03239578601962856
135392.831522113,-55.96965450938897,-174.2274639229662,0.0345484203326833
139542.1916045207,-56.84805531469516,-174.6613417760663,0.03760189556353373
143818.7163890763,-57.59421457015981,-174.10197246439,0.03432736466225508
